DATE,TIME,GPS,SO2,CO,NO2,PM1.0,PM2.5,PM10.0,Tempurature,Humidity,Battery percent,SD card free space,Wifi count error,LTE count error,SD card count error
2021/05/12,15:41:38,2100.341667N10550.628333E,0.002,0.5,0.02,28.3,29.5,32.1,34.8,64.8,37.12,15545856,0,0,0
2021/05/12,15:41:48,2100.341667N10550.628333E,0.002,0.5,0.02,27.4,28.9,31.2,34.8,64.9,37.12,15545856,0,0,0
2021/05/12,15:41:58,2100.347964N10550.551609E,0.003,0.5,0.02,27.4,28.5,30.9,34.8,64.7,37.12,15545856,0,0,0
2021/05/12,15:42:08,2100.347954N10550.552523E,0.003,0.5,0.02,27,28.1,30.6,34.8,64.6,36.6,15545856,0,0,0
2021/05/12,15:42:18,2100.347881N10550.552608E,0.003,0.5,0.02,25.7,27,29.6,34.8,64.5,36.56,15545856,0,0,0
2021/05/12,15:42:28,2100.347683N10550.552771E,0.004,0.5,0.02,25.7,27,29.6,34.8,64.4,36.69,15545856,0,0,0
2021/05/12,15:42:38,2100.347333N10550.552939E,0.004,0.5,0.02,25.7,27,29.6,34.8,64.5,36.62,15545856,0,0,0
2021/05/12,15:42:48,2100.347087N10550.553043E,0.003,0.5,0.02,25.7,26.7,29.3,34.8,64.6,36.56,15545856,0,0,0
2021/05/12,15:42:58,2100.346769N10550.553243E,0.002,0.5,0.02,25.7,26.7,29.3,34.8,64.7,36.58,15545856,0,0,0
2021/05/12,15:43:08,2100.346728N10550.553246E,0.003,0.5,0.02,24.8,25.9,28.5,34.5,62.6,36.39,15545856,0,0,0
2021/05/12,15:43:18,2100.346264N10550.553505E,0.002,0.5,0.02,25.8,26.7,29.3,34.8,64.8,36.25,15545856,0,0,0
2021/05/12,15:43:28,2100.344181N10550.554505E,0.001,0.5,0.02,25.3,26.4,28.7,34.8,64.8,36.12,15545856,0,0,0
2021/05/12,15:43:38,2100.344134N10550.554491E,0.001,0.5,0.02,25.3,26.4,28.7,34.8,64.8,35.96,15545856,0,0,0
2021/05/12,15:44:43,2100.341667N10550.628333E,0.003,0.5,0.02,12.8,13.5,15.9,34.8,64.9,32.82,15545856,0,0,0
2021/05/12,15:44:53,2100.341667N10550.628333E,0.003,0.5,0.02,26.6,27.8,30.3,34.8,64.8,33.58,15545856,0,0,0
